geoid,county_name,component,component_score,recommendation_status,corridor
51037,Charlotte County,commercial_activity,16.869963302426566,Ineligible: no interstate access,Not in a screened corridor
51037,Charlotte County,competition,63.18300653594771,Ineligible: no interstate access,Not in a screened corridor
51037,Charlotte County,overlap_risk,62.125312834785966,Ineligible: no interstate access,Not in a screened corridor
51041,Chesterfield County,market_demand,82.73059237133398,Priority candidate,I-95 Richmond South
51041,Chesterfield County,growth,72.781137465282,Priority candidate,I-95 Richmond South
51041,Chesterfield County,purchasing_power,43.93177876820201,Priority candidate,I-95 Richmond South
51041,Chesterfield County,highway_opportunity,65.20507021469894,Priority candidate,I-95 Richmond South
51041,Chesterfield County,accessibility,85.77545350827224,Priority candidate,I-95 Richmond South
51041,Chesterfield County,commercial_activity,61.01707726216454,Priority candidate,I-95 Richmond South
51041,Chesterfield County,competition,88.63122628562202,Priority candidate,I-95 Richmond South
51041,Chesterfield County,overlap_risk,27.63164566266378,Priority candidate,I-95 Richmond South
51043,Clarke County,market_demand,32.29579961453612,Ineligible: no interstate access,I-81 Winchester / Frederick
51043,Clarke County,growth,61.639593101915494,Ineligible: no interstate access,I-81 Winchester / Frederick
51043,Clarke County,purchasing_power,57.16964304535173,Ineligible: no interstate access,I-81 Winchester / Frederick
51043,Clarke County,highway_opportunity,19.954743413382083,Ineligible: no interstate access,I-81 Winchester / Frederick
51043,Clarke County,accessibility,85.78190775285687,Ineligible: no interstate access,I-81 Winchester / Frederick
51043,Clarke County,commercial_activity,26.232599638928964,Ineligible: no interstate access,I-81 Winchester / Frederick
51043,Clarke County,competition,78.18116423196105,Ineligible: no interstate access,I-81 Winchester / Frederick
51043,Clarke County,overlap_risk,46.65165583830485,Ineligible: no interstate access,I-81 Winchester / Frederick
51045,Craig County,market_demand,13.681445233913301,Ineligible: no interstate access,Not in a screened corridor
51045,Craig County,growth,17.963490277962315,Ineligible: no interstate access,Not in a screened corridor
51045,Craig County,purchasing_power,19.540276669330293,Ineligible: no interstate access,Not in a screened corridor
51045,Craig County,highway_opportunity,3.9242335611329926,Ineligible: no interstate access,Not in a screened corridor
51045,Craig County,accessibility,77.52846339006719,Ineligible: no interstate access,Not in a screened corridor
51045,Craig County,commercial_activity,2.3158898302174395,Ineligible: no interstate access,Not in a screened corridor
51045,Craig County,competition,100.00000000000001,Ineligible: no interstate access,Not in a screened corridor
51045,Craig County,overlap_risk,77.15383645611348,Ineligible: no interstate access,Not in a screened corridor
51047,Culpeper County,market_demand,52.57720801551643,Overlap constrained,I-66 Piedmont
51047,Culpeper County,growth,62.33046090172266,Overlap constrained,I-66 Piedmont
51047,Culpeper County,purchasing_power,37.93775457543351,Overlap constrained,I-66 Piedmont
51047,Culpeper County,highway_opportunity,22.764248804239173,Overlap constrained,I-66 Piedmont
51047,Culpeper County,accessibility,58.9114861959614,Overlap constrained,I-66 Piedmont
51047,Culpeper County,commercial_activity,38.81305482505587,Overlap constrained,I-66 Piedmont
51047,Culpeper County,competition,82.47235342805045,Overlap constrained,I-66 Piedmont
51047,Culpeper County,overlap_risk,22.68308254190156,Overlap constrained,I-66 Piedmont
51049,Cumberland County,market_demand,26.38709845657374,Ineligible: no interstate access,Not in a screened corridor
51049,Cumberland County,growth,34.35220745156817,Ineligible: no interstate access,Not in a screened corridor
51049,Cumberland County,purchasing_power,15.679473548240862,Ineligible: no interstate access,Not in a screened corridor
51049,Cumberland County,highway_opportunity,9.598836752341674,Ineligible: no interstate access,Not in a screened corridor
51049,Cumberland County,accessibility,58.03914951165977,Ineligible: no interstate access,Not in a screened corridor
51049,Cumberland County,commercial_activity,13.129811390385365,Ineligible: no interstate access,Not in a screened corridor
51049,Cumberland County,competition,66.28099880280485,Ineligible: no interstate access,Not in a screened corridor
51049,Cumberland County,overlap_risk,56.97693469236374,Ineligible: no interstate access,Not in a screened corridor
51051,Dickenson County,market_demand,28.87788335434951,Ineligible: no interstate access,Not in a screened corridor
51051,Dickenson County,growth,16.85548240036923,Ineligible: no interstate access,Not in a screened corridor
51051,Dickenson County,purchasing_power,1.9729513502295384,Ineligible: no interstate access,Not in a screened corridor
51051,Dickenson County,highway_opportunity,9.940598125350876,Ineligible: no interstate access,Not in a screened corridor
51051,Dickenson County,accessibility,44.524727415354434,Ineligible: no interstate access,Not in a screened corridor
51051,Dickenson County,commercial_activity,11.299779215506225,Ineligible: no interstate access,Not in a screened corridor
